NC_009925,Acaryochloris marina
NC_013209,Acetobacter pasteurianus
NC_017100,Acetobacter pasteurianus
NC_017108,Acetobacter pasteurianus
NC_017111,Acetobacter pasteurianus
NC_017121,Acetobacter pasteurianus
NC_017125,Acetobacter pasteurianus
NC_017146,Acetobacter pasteurianus
NC_017150,Acetobacter pasteurianus
NC_021991,Acetobacter pasteurianus
NC_016894,Acetobacterium woodii
NC_014378,Acetohalobium arabaticum
NC_010163,Acholeplasma laidlawii
NC_014640,Achromobacter xylosoxidans
NC_021285,Achromobacter xylosoxidans
NC_023061,Achromobacter xylosoxidans
NC_013740,Acidaminococcus fermentans
NC_016077,Acidaminococcus intestini
NC_013124,Acidimicrobium ferrooxidans
NC_009484,Acidiphilium cryptum
NC_015186,Acidiphilium multivorum
NC_015850,Acidithiobacillus caldus
NC_015942,Acidithiobacillus ferrivorans
NC_011761,Acidithiobacillus ferrooxidans
NC_011206,Acidithiobacillus ferrooxidans
NC_012483,Acidobacterium capsulatum
NC_008578,Acidothermus cellulolyticus
NC_015138,Acidovorax avenae
NC_008752,Acidovorax citrulli
NC_011992,Acidovorax ebreus
NC_008782,Acidovorax sp. JS42
NC_018708,Acidovorax sp. KKS102
NC_010400,Acinetobacter baumannii
NC_010410,Acinetobacter baumannii
NC_010611,Acinetobacter baumannii
NC_011586,Acinetobacter baumannii
NC_011595,Acinetobacter baumannii
NC_017162,Acinetobacter baumannii
NC_017387,Acinetobacter baumannii
NC_020547,Acinetobacter baumannii
NC_009085,Acinetobacter baumannii
NC_021726,Acinetobacter baumannii
NC_021729,Acinetobacter baumannii
NC_021733,Acinetobacter baumannii
NC_017847,Acinetobacter baumannii
NC_017171,Acinetobacter baumannii
NC_018706,Acinetobacter baumannii
NC_023028,Acinetobacter baumannii
NC_016603,Acinetobacter calcoaceticus
NC_014259,Acinetobacter oleivorans
NC_005966,Acinetobacter sp. ADP1
NC_010278,Actinobacillus pleuropneumoniae
NC_010939,Actinobacillus pleuropneumoniae
NC_009053,Actinobacillus pleuropneumoniae
NC_009655,Actinobacillus succinogenes
NC_018690,Actinobacillus suis
NC_022657,Actinoplanes friuliensis
NC_017093,Actinoplanes missouriensis
NC_021191,Actinoplanes sp. N902-109
NC_017803,Actinoplanes sp. SE50/110
NC_013093,Actinosynnema mirum
NC_022567,Adlercreutzia equolifaciens
NC_017964,Advenella kashmirensis
NC_018013,Aequorivita sublithincola
NC_015278,Aerococcus urinae
NC_021290,Aeromonas hydrophila
NC_008570,Aeromonas hydrophila
NC_009348,Aeromonas salmonicida
NC_015424,Aeromonas veronii
NC_016513,Aggregatibacter actinomycetemcomitans
NC_017846,Aggregatibacter actinomycetemcomitans
NC_013416,Aggregatibacter actinomycetemcomitans
NC_012913,Aggregatibacter aphrophilus
NC_003062,Agrobacterium fabrum
NC_003063,Agrobacterium fabrum
NC_015183,Agrobacterium sp. H13-3
NC_015508,Agrobacterium sp. H13-3
NC_011985,Agrobacterium tumefaciens
NC_011983,Agrobacterium tumefaciens
NC_011988,Agrobacterium vitis
NC_011989,Agrobacterium vitis
NC_010655,Akkermansia muciniphila
NC_008260,Alcanivorax borkumensis
NC_018691,Alcanivorax dieselolei
NC_014910,Alicycliphilus denitrificans
NC_015422,Alicycliphilus denitrificans
NC_017167,Alicyclobacillus acidocaldarius
NC_013205,Alicyclobacillus acidocaldarius
NC_011184,Aliivibrio fischeri
NC_011186,Aliivibrio fischeri
NC_006840,Aliivibrio fischeri
NC_006841,Aliivibrio fischeri
NC_011312,Aliivibrio salmonicida
NC_011313,Aliivibrio salmonicida
NC_018011,Alistipes finegoldii
NC_008340,Alkalilimnicola ehrlichii
NC_009633,Alkaliphilus metalliredigens
NC_009922,Alkaliphilus oremlandii
NC_013851,Allochromatium vinosum
NC_018632,Alteromonas macleodii
NC_018678,Alteromonas macleodii
NC_018679,Alteromonas macleodii
NC_018692,Alteromonas macleodii
NC_019393,Alteromonas macleodii
NC_021710,Alteromonas macleodii
NC_021712,Alteromonas macleodii
NC_021713,Alteromonas macleodii
NC_021714,Alteromonas macleodii
NC_021717,Alteromonas macleodii
NC_021716,Alteromonas macleodii
NC_023045,Alteromonas macleodii
NC_011138,Alteromonas macleodii
